date,股票代码,新闻标题,label
2026-04-01,600436,肝炎概念涨3.68%，主力资金净流入这些股,0
2026-04-03,600900,长江电力：公司将于4月30日披露《2025年年度报告》,0
2026-04-09,600900,长江电力：一季度公司境内所属六座梯级电站总发电量同比增长7.19% 。 长江电力：一季度公司境内所属六座梯级电站总发电量同比增长7.19%,1
2026-04-10,600900,长江电力：一季度六座梯级电站总发电量618.25亿千瓦时 同比增加7.19% 。 33股获融资客大手笔净买入,1
2026-04-13,600436,医药生物行业资金流出榜：恒瑞医药、药明康德等净流出资金居前 。 解密主力资金出逃股 连续5日净流出305股,0
2026-04-13,600900,22.83亿元资金今日流入公用事业股 。 41股获杠杆资金净买入超亿元,0
2026-04-14,600436,解密主力资金出逃股 连续5日净流出286股,1
2026-04-14,601318,【盘中播报】72只股长线走稳 站上年线 。 强势股追踪 主力资金连续5日净流入114股,0
2026-04-15,600036,招商银行完成发行300亿元无固定期限资本债券,1
2026-04-15,600436,9.62亿主力资金净流入，肝炎概念涨1.56% 。 创新药概念涨2.12%，主力资金净流入179股,0
2026-04-15,601318,强势股追踪 主力资金连续5日净流入72股,0
2026-04-16,300750,2026年一季报净利润为207.38亿元、宁德时代300750.SZ)较去年同期上涨48.52%,0
2026-04-16,600036,银行行业今日净流出资金5.99亿元，工商银行等6股净流出资金超5000万元,0
2026-04-17,600436,肝炎概念下跌1.46%，主力资金净流出113股,0
2026-04-20,600036,银行行业资金流入榜：工商银行、招商银行等净流入资金居前,0
2026-04-20,600900,7.36亿元主力资金今日抢筹公用事业板块,1
2026-04-20,601318,43股获杠杆资金净买入超亿元,0
2026-04-21,600900,2.94亿元资金今日流出公用事业股,0
2026-04-21,601318,平安再增持中国人寿H股，持股比例超11%，总持仓超8.24亿股,0
2026-04-22,600036,15.53亿元主力资金今日撤离银行板块 。 热度飙升！外资年内调研A股超1800次，聚焦硬科技,1
2026-04-22,600436,解密主力资金出逃股 连续5日净流出507股,1
2026-04-22,601318,热度飙升！外资年内调研A股超1800次，聚焦硬科技,0
2026-04-23,300750,宁德时代：宁波联创询价转让完毕 持股比例降至5%以下 。 宁德时代：宁波联创持股比例降至5%以下 。 宁德时代：宁波联创询价转让完毕 持股比例降至4.96% 。 宁德时代在古田成立新能源科技公司 注册资本20亿 。 宁德时代在古田成立新能源科技公司,1
2026-04-23,600036,涨幅超A股 四大行H股盘中集体创新高 谁在买？,0
2026-04-23,600900,11.60亿元主力资金今日抢筹公用事业板块,0
2026-04-24,300750,宁德时代：宁波联创询价转让5800万股，套现达238亿元,0
2026-04-24,600036,2442家公司公布派现方案 合计派现13315.43亿元,0
2026-04-24,600436,片仔癀：获阿根廷天然牛黄进口资质,0
2026-04-24,600519,贵州茅台：一季度主营业务收入538.86亿元 。 贵州茅台一季度归母净利润272.4亿元，同比增长1.5% 。 财报解读｜茅台一季报双增，“i茅台”收入大增267% 。 贵州茅台一季度业绩出炉：净利润增长1.47% 。 今日76只股长线走稳 站上年线,0
2026-04-24,601088,中国神华：一季度净利润106.67亿元 同比下降10.7% 。 中国神华：第一季度净利润同比下降10.7% 主要系售电量增长导致售电收入增加 。 中国神华一季度归母净利润同比降10.7%至106.7亿元 。 中国神华一季度净利润下滑10.7% 煤炭业务毛利下降9.4%,0
2026-04-24,601318,2442家公司公布派现方案 合计派现13315.43亿元,0
2026-04-27,300750,宁德时代在西宁投资成立新能源科技公司 。 宁德时代在西宁成立新能源科技公司 。 2803家公司公布派现方案 合计派现13941.01亿元,0
2026-04-27,600036,37股获融资客大手笔净买入 。 2803家公司公布派现方案 合计派现13941.01亿元,0
2026-04-27,600519,2803家公司公布派现方案 合计派现13941.01亿元 。 白酒概念下跌1.12%，5股主力资金净流出超3000万元 。 37股获融资客大手笔净买入,0
2026-04-27,601088,强势股追踪 主力资金连续5日净流入88股 。 2803家公司公布派现方案 合计派现13941.01亿元,0
2026-04-27,601318,千里科技、滨化股份、阳光电源等递表港交所主板；爱尔眼科宣布拟赴港上市丨港交所早参 。 2803家公司公布派现方案 合计派现13941.01亿元,0
