ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600519.SH,20260427,1420.0,1420.0,1402.2,1403.2,1458.49,-55.29,-3.7909,72797.74,10239763.452
600519.SH,20260424,1413.1,1458.88,1413.1,1458.49,1419.0,39.49,2.7829,55455.31,8003410.999
600519.SH,20260423,1408.0,1419.7,1405.1,1419.0,1409.5,9.5,0.674,37701.09,5332831.151
600519.SH,20260422,1415.0,1419.0,1404.98,1409.5,1412.01,-2.51,-0.1778,26915.93,3793827.534
600519.SH,20260421,1411.0,1419.9,1410.0,1412.01,1410.89,1.12,0.0794,21754.27,3074595.192
600519.SH,20260420,1403.0,1413.94,1400.0,1410.89,1407.24,3.65,0.2594,36451.39,5127146.041
600519.SH,20260417,1400.0,1421.0,1399.87,1407.24,1462.84,-55.6,-3.8008,96824.99,13631929.446
600519.SH,20260416,1467.45,1477.41,1460.0,1462.84,1467.5,-4.66,-0.3175,24512.84,3597294.838
600519.SH,20260415,1444.98,1470.79,1442.0,1467.5,1446.9,20.6,1.4237,34553.48,5049317.187
600519.SH,20260414,1442.6,1448.6,1435.0,1446.9,1443.31,3.59,0.2487,24232.61,3492544.23
600519.SH,20260413,1444.0,1446.5,1433.0,1443.31,1453.96,-10.65,-0.7325,25213.64,3629675.49
600519.SH,20260410,1459.14,1459.71,1441.1,1453.96,1460.49,-6.53,-0.4471,28865.56,4187181.529
600519.SH,20260409,1465.02,1465.02,1447.5,1460.49,1465.02,-4.53,-0.3092,20704.76,3012278.579
600519.SH,20260408,1460.0,1469.08,1452.13,1465.02,1440.02,25.0,1.7361,33836.1,4947937.007
600519.SH,20260407,1460.05,1470.0,1435.05,1440.02,1460.0,-19.98,-1.3685,24152.18,3507471.653
600519.SH,20260403,1459.54,1469.96,1455.0,1460.0,1459.88,0.12,0.0082,20193.73,2953993.081
600519.SH,20260402,1459.44,1464.88,1452.1,1459.88,1459.44,0.44,0.0301,21064.37,3071809.846
600519.SH,20260401,1464.49,1469.99,1452.88,1459.44,1450.0,9.44,0.651,29125.14,4256185.472
600519.SH,20260331,1468.0,1479.93,1448.41,1450.0,1420.0,30.0,2.1127,61690.66,9015486.797
600519.SH,20260330,1407.0,1431.0,1402.52,1420.0,1416.02,3.98,0.2811,28684.59,4060684.934
600519.SH,20260327,1400.0,1426.0,1396.66,1416.02,1401.18,14.84,1.0591,30087.11,4257499.781
600519.SH,20260326,1409.0,1413.9,1400.3,1401.18,1410.27,-9.09,-0.6446,23092.89,3243387.502
600519.SH,20260325,1410.11,1417.87,1401.01,1410.27,1407.33,2.94,0.2089,26093.46,3677905.549
600519.SH,20260324,1416.0,1417.59,1400.18,1407.33,1408.07,-0.74,-0.0526,28561.79,4017694.387
000858.SZ,20260427,100.5,100.53,100.05,100.2,101.27,-1.07,-1.0566,191047.82,1913778.919
000858.SZ,20260424,100.65,101.92,100.3,101.27,101.18,0.09,0.089,134533.38,1361341.945
000858.SZ,20260423,100.64,102.3,100.56,101.18,100.64,0.54,0.5366,174023.18,1764308.585
000858.SZ,20260422,101.0,101.08,100.46,100.64,101.18,-0.54,-0.5337,144382.61,1452833.705
000858.SZ,20260421,101.3,101.82,101.0,101.18,101.35,-0.17,-0.1677,108280.96,1095969.167
000858.SZ,20260420,101.82,101.95,101.05,101.35,101.86,-0.51,-0.5007,116960.8,1186004.538
000858.SZ,20260417,101.5,102.25,101.2,101.86,103.44,-1.58,-1.5275,167431.74,1704502.562
000858.SZ,20260416,103.5,104.0,103.22,103.44,103.55,-0.11,-0.1062,90166.32,934168.918
000858.SZ,20260415,102.9,103.99,102.68,103.55,103.1,0.45,0.4365,115712.56,1196292.314
000858.SZ,20260414,102.42,103.4,101.88,103.1,102.42,0.68,0.6639,120696.37,1238173.621
000858.SZ,20260413,101.64,102.45,101.08,102.42,102.07,0.35,0.3429,122634.34,1247104.401
000858.SZ,20260410,102.61,102.95,102.0,102.07,102.6,-0.53,-0.5166,122424.04,1253630.005
000858.SZ,20260409,103.38,103.69,102.5,102.6,104.19,-1.59,-1.5261,98461.58,1012935.76
000858.SZ,20260408,103.9,104.2,103.51,104.19,103.11,1.08,1.0474,97740.07,1016515.698
000858.SZ,20260407,103.4,103.9,102.35,103.11,103.49,-0.38,-0.3672,81547.94,839975.543
000858.SZ,20260403,104.97,104.97,103.29,103.49,105.0,-1.51,-1.4381,83088.61,864181.133
000858.SZ,20260402,104.0,105.26,103.88,105.0,104.39,0.61,0.5843,151783.37,1589237.202
000858.SZ,20260401,103.97,105.18,103.39,104.39,103.27,1.12,1.0845,122666.65,1279526.789
000858.SZ,20260331,105.0,105.8,103.27,103.27,103.46,-0.19,-0.1836,178347.71,1865043.694
000858.SZ,20260330,101.99,103.9,101.8,103.46,102.65,0.81,0.7891,124906.97,1286843.153
000858.SZ,20260327,100.5,102.88,100.41,102.65,101.28,1.37,1.3527,102957.55,1052956.368
000858.SZ,20260326,102.2,102.89,101.28,101.28,102.45,-1.17,-1.142,95924.48,977853.749
000858.SZ,20260325,101.35,102.58,100.88,102.45,101.34,1.11,1.0953,108589.64,1107451.813
000858.SZ,20260324,100.88,101.46,100.04,101.34,100.23,1.11,1.1075,117507.54,1184095.484
300750.SZ,20260427,444.63,448.76,433.8,434.88,444.9,-10.02,-2.2522,330612.83,14514326.132
300750.SZ,20260424,442.0,448.45,438.0,444.9,438.9,6.0,1.3671,395424.97,17517374.359
300750.SZ,20260423,443.5,443.6,435.0,438.9,436.35,2.55,0.5844,354309.66,15566836.621
300750.SZ,20260422,441.01,447.97,433.13,436.35,440.69,-4.34,-0.9848,460254.32,20173924.648
300750.SZ,20260421,435.0,450.13,425.1,447.6,432.5,15.1,3.4913,577745.62,25412275.749
300750.SZ,20260420,433.0,437.9,426.01,432.5,444.2,-11.7,-2.6339,529278.21,22768028.85
300750.SZ,20260417,455.96,457.64,441.01,444.2,453.98,-9.78,-2.1543,365358.48,16290232.436
300750.SZ,20260416,441.0,460.0,433.02,453.98,431.0,22.98,5.3318,635062.18,28517416.468
300750.SZ,20260415,438.88,439.46,427.07,431.0,430.79,0.21,0.0487,373536.28,16122379.46
300750.SZ,20260414,421.5,432.49,414.4,430.79,427.13,3.66,0.8569,442208.26,18663656.303
300750.SZ,20260413,418.0,433.33,416.0,427.13,416.0,11.13,2.6755,412399.24,17625505.878
300750.SZ,20260410,394.0,419.0,392.68,416.0,389.99,26.01,6.6694,507887.02,20752496.341
300750.SZ,20260409,394.1,394.28,386.66,389.99,391.3,-1.31,-0.3348,259551.99,10132744.607
300750.SZ,20260408,396.5,397.65,388.22,391.3,384.59,6.71,1.7447,364184.43,14315333.338
300750.SZ,20260407,389.98,393.2,381.49,384.59,386.46,-1.87,-0.4839,172576.22,6675632.984
300750.SZ,20260403,400.0,400.8,385.13,386.46,401.17,-14.71,-3.6668,247515.01,9640031.385
300750.SZ,20260402,407.9,411.99,397.2,401.17,405.71,-4.54,-1.119,223056.38,8988161.794
300750.SZ,20260401,409.73,409.87,396.0,405.71,401.7,4.01,0.9983,231700.73,9384266.504
300750.SZ,20260331,413.0,416.95,401.58,401.7,413.0,-11.3,-2.7361,249256.45,10159878.346
300750.SZ,20260330,413.0,418.85,405.6,413.0,416.18,-3.18,-0.7641,253484.19,10440376.424
300750.SZ,20260327,406.12,418.33,401.73,416.18,402.5,13.68,3.3988,302580.43,12465856.864
300750.SZ,20260326,393.84,413.72,392.0,402.5,397.81,4.69,1.179,267636.97,10811439.764
300750.SZ,20260325,393.0,400.5,387.8,397.81,396.99,0.82,0.2066,267528.28,10553996.247
300750.SZ,20260324,405.0,411.9,388.0,396.99,401.99,-5.0,-1.2438,364105.25,14439124.61
002594.SZ,20260427,100.0,104.0,99.88,102.34,99.46,2.88,2.8956,601670.2,6169037.082
002594.SZ,20260424,99.91,99.91,98.7,99.46,99.98,-0.52,-0.5201,337738.78,3348015.919
002594.SZ,20260423,101.57,101.59,99.01,99.98,101.62,-1.64,-1.6139,492163.75,4915554.212
002594.SZ,20260422,101.11,102.38,100.6,101.62,101.53,0.09,0.0886,343733.37,3485648.244
002594.SZ,20260421,102.91,103.19,101.33,101.53,102.91,-1.38,-1.341,432257.69,4398233.495
002594.SZ,20260420,103.78,103.95,102.62,102.91,103.78,-0.87,-0.8383,383676.96,3957213.043
002594.SZ,20260417,104.99,105.46,103.12,103.78,105.54,-1.76,-1.6676,442047.63,4595671.718
002594.SZ,20260416,103.28,105.97,103.28,105.54,103.03,2.51,2.4362,643661.46,6763624.067
002594.SZ,20260415,103.82,104.77,102.5,103.03,103.82,-0.79,-0.7609,428719.17,4431952.62
002594.SZ,20260414,103.0,104.19,102.5,103.82,104.25,-0.43,-0.4125,543342.83,5614541.232
002594.SZ,20260413,101.57,104.99,100.81,104.25,101.67,2.58,2.5376,663135.98,6887089.022
002594.SZ,20260410,99.39,102.2,99.03,101.67,99.03,2.64,2.6659,605731.35,6130392.652
002594.SZ,20260409,100.21,100.21,98.81,99.03,101.22,-2.19,-2.1636,379062.93,3764528.22
002594.SZ,20260408,98.5,101.28,98.11,101.22,97.98,3.24,3.3068,562818.4,5621410.29
002594.SZ,20260407,99.5,99.77,97.45,97.98,99.01,-1.03,-1.0403,379697.46,3731963.03
002594.SZ,20260403,101.8,102.3,99.0,99.01,101.65,-2.64,-2.5971,491745.16,4921224.066
002594.SZ,20260402,102.49,103.48,100.5,101.65,102.65,-1.0,-0.9742,604349.47,6153958.208
002594.SZ,20260401,105.9,106.5,102.37,102.65,105.25,-2.6,-2.4703,715198.11,7383168.512
002594.SZ,20260331,107.0,108.49,105.1,105.25,106.05,-0.8,-0.7544,588659.01,6283345.063
002594.SZ,20260330,103.51,108.0,103.25,106.05,105.3,0.75,0.7123,727557.23,7713482.118
002594.SZ,20260327,103.99,105.89,102.75,105.3,103.14,2.16,2.0942,658454.64,6893710.026
002594.SZ,20260326,106.62,107.68,102.7,103.14,106.6,-3.46,-3.2458,828120.67,8655663.075
002594.SZ,20260325,106.72,107.66,105.28,106.6,106.64,-0.04,-0.0375,662664.89,7061311.678
002594.SZ,20260324,108.4,108.4,104.93,106.64,107.63,-0.99,-0.9198,921446.17,9784806.491
601318.SH,20260427,57.8,58.55,57.46,57.55,57.78,-0.23,-0.3981,640670.76,3708625.921
601318.SH,20260424,57.71,57.97,57.06,57.78,57.88,-0.1,-0.1728,554002.04,3188079.037
601318.SH,20260423,57.98,58.58,57.53,57.88,58.03,-0.15,-0.2585,661174.05,3829528.934
601318.SH,20260422,58.03,58.6,57.65,58.03,58.03,0.0,0.0,579570.25,3364574.054
601318.SH,20260421,58.54,59.11,58.03,58.03,58.54,-0.51,-0.8712,544020.36,3179298.446
601318.SH,20260420,57.87,58.67,57.74,58.54,57.92,0.62,1.0704,633436.88,3690691.462
601318.SH,20260417,58.4,58.4,57.61,57.92,58.52,-0.6,-1.0253,612323.84,3550736.121
601318.SH,20260416,58.71,59.03,58.25,58.52,58.7,-0.18,-0.3066,544367.86,3190206.251
601318.SH,20260415,59.4,59.72,58.61,58.7,58.97,-0.27,-0.4579,513712.65,3032393.651
601318.SH,20260414,58.23,59.2,58.13,58.97,57.75,1.22,2.1126,675142.2,3965283.533
601318.SH,20260413,58.2,58.21,57.61,57.75,58.82,-1.07,-1.8191,684543.99,3959480.166
